    PID TTY      STAT   TIME COMMAND
      2 ?        S      0:00 [kthreadd]
  14727 ?        Sl     1:58  \_ /home/deck/Downloads/genymotion/qemu/x86_64/bin/qemu-system-x86_64 --device ac97,audiodev=snd0 -accel kvm -audiodev pa,id=snd0 -device virtio-rng-pci -drive file=/home/deck/.Genymobile/Genymotion/deployed/Amazon Fire HD 8/system.qcow2,format=qcow2,if=virtio -drive file=/home/deck/.Genymobile/Genymotion/deployed/Amazon Fire HD 8/data.qcow2,format=qcow2,if=virtio -drive format=vvfat,label=shared,file=fat:ro:/home/deck/.Genymobile/Genymotion/deployed/Amazon Fire HD 8/shared,if=virtio -m 8192M -nic user,id=net0,model=virtio-net-pci,net=10.0.2.0/24,hostfwd=tcp::6555-:5555,hostfwd=tcp::6379-:6379,hostfwd=tcp::22468-:22468,hostfwd=tcp::24297-:24297,hostfwd=tcp::24296-:24296,hostfwd=tcp::24800-:24800,hostfwd=tcp::24810-:24810,hostfwd=tcp::25000-:25000 -nic user,id=net1,model=virtio-net-pci,net=10.0.3.0/24 -nodefaults -nographic -object iothread,id=disk-iothread -qmp tcp:localhost:23555,server,nowait -smp 6 -vga std
  15018 ?        Sl     0:00  \_ /usr/lib/kf5/kioslave5 /usr/lib/qt/plugins/kf5/kio/thumbnail.so thumbnail  local:/run/user/1000/dolphinvWQxhH.12.slave-socket
   1109 ?        Ssl    0:04 /usr/lib/polkit-1/polkitd --no-debug
   1215 ?        SNsl   0:00 /usr/lib/rtkit-daemon
   1649 ?        Ssl    0:02 /usr/lib/udisks2/udisksd
   2616 ?        Ssl    0:00 /usr/lib/upowerd
   3153 ?        Ssl    0:00 /usr/lib/accounts-daemon
   3407 ?        Ssl    0:01 /usr/lib/fwupd/fwupd
   6518 ?        Ssl    0:00 /usr/bin/sddm
   6520 ?        S      0:00  \_ /usr/lib/sddm/sddm-helper --socket /tmp/sddm-auth9e6b8f87-1b73-4ba5-bf42-e0b0cf6213d6 --id 1 --start /usr/bin/startplasma-steamos-oneshot --user deck --autologin --display-server /usr/bin/X -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3
   6530 tty1     Ss+    0:00      \_ /usr/lib/sddm/sddm-helper-start-x11user /usr/bin/X -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3 /usr/share/sddm/scripts/Xsession "/usr/bin/startplasma-steamos-oneshot"
   6531 tty1     Sl+    7:24          \_ /usr/lib/Xorg -nolisten tcp -background none -seat seat0 -noreset -keeptty -novtswitch -verbose 3 -auth /run/user/1000/17cd3a05-e4ca-4143-ac79-22a08b3dbd21 -displayfd 12 vt1
   6542 tty1     Sl+    0:00          \_ /usr/bin/startplasma-x11
   6528 ?        Sl     0:00 /usr/bin/kwalletd5 --pam-login 13 14
